profile,file,transcript,duration_sec,sample_rate
egyptian_synthetic,egyptian_synthetic/egyptian_synthetic_long_10.wav,"If you were asked to improve an interview assistant for a real production environment, explain how you would test system audio capture, voice activity detection, speech to text, technical term repair, intent matching, confidence checks, latency, and safe fallback behavior.",19.96,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_01.wav,"Please explain the complete path in your BTEC RAG system, starting from the source document, then chunking, embeddings, retrieval, generation, validation, teacher approval, and finally saving the approved question.",17.69,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_02.wav,"Imagine the interviewer asks why you did not use a large language model for the assignment similarity checker. Explain how embeddings, cosine similarity, metadata filters, and teacher review solve that problem without a generation step.",18.52,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_03.wav,"Describe how you would design safe database access for an AI agent in a government system, including limited permissions, a controlled service, validation, logging, and human approval before any sensitive write operation.",17.87,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_04.wav,"Explain why a strong language model can still produce a bad RAG answer when retrieval is weak, and describe how you would check chunking, metadata filters, embeddings, ranking, and the retrieved passages before changing the model.",18.49,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_05.wav,"Walk me through the difference between a fixed automated workflow and an agentic workflow, and explain how state, tools, validation, retries, stop conditions, and human approval change the behavior of the system.",17.59,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_06.wav,"Tell me how you would evaluate an early warning model for students, why recall matters, why accuracy alone can be misleading, and how precision helps prevent teachers from receiving too many unnecessary alerts.",16.79,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_07.wav,"Explain how you would isolate data between multiple schools in one RAG platform, including backend filtering, school identifiers, metadata, separate collections when needed, and tests that prevent cross school retrieval.",18.01,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_08.wav,"Describe what should happen when an AI generated question fails validation more than once, including retry limits, logging, escalation to a teacher, and why the system should never continue retrying forever.",16.81,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_09.wav,"Compare RAG, fine tuning, and agentic AI in one practical explanation, and explain when you would use each approach in a real project where the documents can change but the output style should remain controlled.",17.73,16000
emirati_synthetic,emirati_synthetic/emirati_synthetic_long_10.wav,"If you were asked to improve an interview assistant for a real production environment, explain how you would test system audio capture, voice activity detection, speech to text, technical term repair, intent matching, confidence checks, latency, and safe fallback behavior.",22.81,16000
