sample_id,question_id,main_question,spoken_wording,speaker_profile,requested_region_profile,voice_note,condition,expected_topic_hint,expected_answer,sample_rate_hz,channels,file
17,156,What is RAG?,Explain rag,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,poor_call,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_kuwaiti_synthetic_poor_call.wav
18,156,What is RAG?,Explain rag,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,combined,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_kuwaiti_synthetic_combined.wav
19,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Our regulations change every year. Should we fine-tune the model or use RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,clean,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_indian_synthetic_clean.wav
20,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Our regulations change every year. Should we fine-tune the model or use RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,fast,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_indian_synthetic_fast.wav
21,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Our regulations change every year. Should we fine-tune the model or use RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,office_noise,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_indian_synthetic_office_noise.wav
22,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Our regulations change every year. Should we fine-tune the model or use RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,far,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_indian_synthetic_far.wav
23,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Our regulations change every year. Should we fine-tune the model or use RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,poor_call,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_indian_synthetic_poor_call.wav
24,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Our regulations change every year. Should we fine-tune the model or use RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,combined,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_indian_synthetic_combined.wav
25,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Should we fine tune the model or use rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,clean,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_jordanian_synthetic_clean.wav
26,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Should we fine tune the model or use rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,fast,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_jordanian_synthetic_fast.wav
27,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Should we fine tune the model or use rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,office_noise,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_jordanian_synthetic_office_noise.wav
28,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Should we fine tune the model or use rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,far,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_jordanian_synthetic_far.wav
29,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Should we fine tune the model or use rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,poor_call,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_jordanian_synthetic_poor_call.wav
30,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Should we fine tune the model or use rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,combined,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_jordanian_synthetic_combined.wav
31,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Rag or fine tuning,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,clean,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_kuwaiti_synthetic_clean.wav
32,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Rag or fine tuning,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,fast,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_kuwaiti_synthetic_fast.wav
33,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Rag or fine tuning,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,office_noise,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_kuwaiti_synthetic_office_noise.wav
34,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Rag or fine tuning,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,far,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_kuwaiti_synthetic_far.wav
35,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Rag or fine tuning,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,poor_call,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_kuwaiti_synthetic_poor_call.wav
36,160,Our regulations change every year. Should we fine-tune the model or use RAG?,Rag or fine tuning,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,combined,"rag for knowledge, fine tune for behavior, reindex one file, citation from retrieval, facts change every year, tone and format","RAG for the facts. Fine-tuning for behavior. When a regulation changes, I re-index that file and the system is current the same day. Fine-tuning cannot show the clause. I would fine-tune for tone, report shape, or terminology, not for yearly rules.",16000,1,audio/Q160_kuwaiti_synthetic_combined.wav
37,173,What is agentic AI?,What is agentic AI?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,clean,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_indian_synthetic_clean.wav
38,173,What is agentic AI?,What is agentic AI?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,fast,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_indian_synthetic_fast.wav
39,173,What is agentic AI?,What is agentic AI?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,office_noise,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_indian_synthetic_office_noise.wav
40,173,What is agentic AI?,What is agentic AI?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,far,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_indian_synthetic_far.wav
41,173,What is agentic AI?,What is agentic AI?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,poor_call,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_indian_synthetic_poor_call.wav
42,173,What is agentic AI?,What is agentic AI?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,combined,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_indian_synthetic_combined.wav
43,173,What is agentic AI?,What is agentic ai,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,clean,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_jordanian_synthetic_clean.wav
44,173,What is agentic AI?,What is agentic ai,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,fast,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_jordanian_synthetic_fast.wav
45,173,What is agentic AI?,What is agentic ai,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,office_noise,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_jordanian_synthetic_office_noise.wav
46,173,What is agentic AI?,What is agentic ai,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,far,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_jordanian_synthetic_far.wav
47,173,What is agentic AI?,What is agentic ai,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,poor_call,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_jordanian_synthetic_poor_call.wav
48,173,What is agentic AI?,What is agentic ai,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,combined,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_jordanian_synthetic_combined.wav
49,173,What is agentic AI?,What is an ai agent,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,clean,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_kuwaiti_synthetic_clean.wav
50,173,What is agentic AI?,What is an ai agent,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,fast,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_kuwaiti_synthetic_fast.wav
51,173,What is agentic AI?,What is an ai agent,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,office_noise,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_kuwaiti_synthetic_office_noise.wav
52,173,What is agentic AI?,What is an ai agent,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,far,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_kuwaiti_synthetic_far.wav
53,173,What is agentic AI?,What is an ai agent,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,poor_call,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_kuwaiti_synthetic_poor_call.wav
54,173,What is agentic AI?,What is an ai agent,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,combined,"model chooses tools, loop until goal, code executes after checks, not a single summary call, chatbot only replies, risky because it can act","A chatbot replies in text. An agent is when the model chooses the next tool toward a goal, sees the result, and continues. My code runs the tool after checks. The model never gets a raw database because the prompt mentioned one.",16000,1,audio/Q173_kuwaiti_synthetic_combined.wav
55,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,clean,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_indian_synthetic_clean.wav
56,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,fast,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_indian_synthetic_fast.wav
57,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,office_noise,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_indian_synthetic_office_noise.wav
58,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,far,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_indian_synthetic_far.wav
59,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,poor_call,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_indian_synthetic_poor_call.wav
60,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,combined,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_indian_synthetic_combined.wav
61,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,clean,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_jordanian_synthetic_clean.wav
62,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,fast,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_jordanian_synthetic_fast.wav
63,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,office_noise,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_jordanian_synthetic_office_noise.wav
64,174,What is the difference between an agent and a workflow?,What is the difference between an agent and a workflow,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,far,"program defines the path, model chooses next tool, rag is usually a workflow, auditability, open ended request, wrap agent in a workflow","A workflow is a path my program defines: this step, then that step. It can still call an LLM. An agent lets the model pick the next tool from what it just saw. RAG retrieve-then-generate is a workflow unless the model starts choosing tools.",16000,1,audio/Q174_jordanian_synthetic_far.wav
